X,Y,BLDG_ID,BLDG_NAME,ADDRESS,CITY,ZIPCODE,CSP_SCH_ID,SCH_ID,SCH_NAME,SCH_LABEL,SCH_TYPE,SHARED,COMPLEX,OBJECTID
-71.0863095664433,42.3209483433356,51,Lewis Bldg,131 Walnut Avenue,Roxbury,02119,4242,4242,Higginson/Lewis K-8,Higginson/Lewis K-8,K-8, , ,39
-71.0789391285933,42.3149668544207,53,Blue Hill Ave Eec Bldg,263 Blue Hill Ave,Roxbury,02119,4460,4460,Haynes EEC,Haynes EEC,ELC, , ,40
-71.0878410546405,42.3157400345081,54,Trotter Bldg,135 Humboldt Avenue,Dorchester,02121,4580,4580,Trotter K-8,Trotter K-8,K-8, , ,41
-71.0845005969563,42.3161586640829,55,Boston Latin Academy Bldg,205 Townsend Street,Boston,02121,1020,1020,Boston Latin Academy,Boston Latin Acad,6/7-12, , ,42
-71.0928915949827,42.3163342994336,56,Ellis Bldg,302 Walnut Avenue,Roxbury,02119,4240,4240,Ellis Elementary,Ellis,ES, , ,43
-71.0756266005436,42.3182026505446,57,Winthrop Bldg,35 Brookford Street,Dorchester,02125,4052,4052,Winthrop Elementary,Winthrop,ES, , ,44
-71.0761965933492,42.311299663348,58,King Bldg,77 Lawrence Avenue,Dorchester,02121,4055,4055,King K-8,King K-8,K-8, , ,45
-71.0754108246073,42.3090540227507,59,Frederick Middle,270 Columbia Road,Dorchester,02121,2360,2360,Frederick Pilot Middle,Frederick MS,MS, , ,46
-71.0738590187824,42.3056181292661,62,Holland Bldg,85 Olney Street,Dorchester,02121,4250,4250,Holland Elementary,Holland,ES, , ,47
-71.0610117718459,42.3083962123703,63,Mather Bldg,1 Parish Street,Dorchester,02122,4350,4350,Mather Elementary,Mather,ES, , ,48
-71.070729431583,42.2999261467424,67,Marshall Bldg,35 Westville Street,Dorchester,02124,4345,4345,UP Academy Charter School of Dorchester,UP Academy of Dorchester,K-8, , ,49
-71.0622206437685,42.2939667271706,69,Ohearn Bldg,1669 Dorchester Avenue,Dorchester,02122,4391,4391,Henderson Lower (K-3),Henderson Lower (K-3),K-12, , ,50
-71.049194058989,42.2942061768223,70,Murphy Bldg,1 Worrell Street,Dorchester,02122,4400,4400,Murphy K-8,Murphy K-8,K-8, , ,51
-71.0531915370764,42.2865502504038,71,Kenny Bldg,19 Oakton Avenue,Dorchester,02122,4390,4390,Kenny Elementary,Kenny,ES, , ,52
-71.0695699265424,42.2812617275529,72,Wilson Bldg,18 Croftland Avenue,Dorchester,02124,1140,1140,Henderson Upper (4-12),Henderson Upper (4-12),K-12, , ,53
-71.0774305656595,42.277860746688,73,Taylor Bldg,1060 Morton Street,Mattapan,02126,4151,4151,Taylor Elementary,Taylor,ES, , ,54
-71.0809105936998,42.28141865783,74,Thompson Bldg,100 Maxwell Street,Dorchester,02124,1990,1990,Boston International HS,Boston Intl HS,Special,Shared, ,55
-71.0809105936998,42.28141865783,74,Thompson Bldg,100 Maxwell Street,Dorchester,02124,1991,1991,Newcomers Academy,Newcomers Acad,Special,Shared, ,56
-71.0904295965388,42.2767606568668,77,Mildred Avenue Bldg,5 Mildred Avenue,Mattapan,02126,4671,4671,Mildred Avenue K-8,Mildred Ave K-8,K-8, , ,57
-71.0767914546358,42.2877921541013,78,Dorchester Ed. Bldg #1 - Main,9 Peacevale Road,Dorchester,02124,1460,1460,TechBoston Academy,TechBoston,6/7-12, , ,58
-71.0803754196178,42.2924381049575,80,Lee Bldg,155 Talbot Avenue,Dorchester,02124,4290,4290,Lee Elementary,Lee School (2-6),K-8, , ,59
-71.0730086271986,42.2866089266827,79,Fifield Bldg,25 Dunbar Ave.,Dorchester,02124,4291,4291,Lee Academy,Lee Academy (K0-1),ES, , ,60
-71.0756002591556,42.2967884983735,82,Holmes Bldg,40 School Street,Dorchester,02124,4084,4084,Holmes Elementary,Holmes,ES, , ,61
-71.0950023339489,42.2823146603022,85,Lewenberg Bldg,20 Outlook Road,Mattapan,02126,4600,4600,Young Achievers K-8,Young Achievers K-8,K-8, , ,62
-71.1040894427701,42.2758153095771,86,Mattahunt Bldg,100 Hebron Street,Mattapan,02126,4690,4690,Mattahunt Elementary,Mattahunt,ES, , ,63
-71.1047806003227,42.2672586545318,87,Chittick Bldg,154 Ruskindale Road,Mattapan,02126,4070,4070,Chittick Elementary,Chittick,ES, , ,64
-71.0617294210316,42.3011287906276,65,Cleveland Bldg,11 Charles Street,Dorchester,02122,1103,1103,Comm Acad Sci Health,CASH,HS,Shared, ,65
-71.1177406058554,42.2854086570265,91,Philbrick Bldg,40 Philbrick Street,Roslindale,02131,4561,4561,Philbrick Elementary,Philbrick,ES, , ,66
-71.1077206021497,42.2867586577421,92,Haley Bldg,570 American Legion Highway,Roslindale,02131,4210,4210,Haley Elementary,Haley,K-8, , ,67
-71.1159406055389,42.2946386589098,93,Parkman Bldg,25 Walk Hill Street,Jamaica Plain,02130,4661,4661,BTU K-8 Pilot,BTU Pilot School K-8,K-8, , ,68
-71.1234511664221,42.2429507593291,96,Roosevelt Bldg,95 Needham Road,Hyde Park,02136,4192,4192,Roosevelt Upper (2-7),Roosevelt K-8 (Upper),K-8, , ,69
-71.1333206086686,42.2516286505472,98,Channing Bldg,35 Sunnyside Street,Hyde Park,02136,4201,4201,Channing Elementary,Channing,ES, , ,70
-71.1273206074117,42.2567686511982,99,Grew Bldg,40 Gordon Avenue,Hyde Park,02136,4200,4200,Grew Elementary,Grew,ES, , ,71
-71.1270506084516,42.2747986548434,100,Conley Bldg,450 Poplar Street,Roslindale,02131,4080,4080,Conley Elementary,Conley,ES, , ,72
-71.124930607657,42.2836386566883,101,Irving Bldg,105 Cummins Highway,Roslindale,02131,2140,2140,Irving Middle,Irving MS,MS, , ,73
-71.1268406084304,42.2864586576535,102,Sumner Bldg,15 Basile Street,Roslindale,02131,4560,4560,Sumner Elementary,Sumner,ES, , ,74
-71.1034906021924,42.3089286624683,105,Fuller Bldg,25 Glen Road,Jamaica Plain,02130,1340,1340,Community Academy,Community Acad,Special, , ,75
-71.0981202067,42.3139378837254,107,Hernandez Bldg,61 School Street,Roxbury,02119,4053,4053,Hernandez K-8,Hernandez K-8,K-8, , ,76
-71.1096006042263,42.30600866104,108,English Hs Bldg,144 Mcbride Street,Jamaica Plain,02130,1080,1080,English High,English HS,HS, , ,77
-71.101610602586,42.3165586640321,109,Mendell Bldg,164 School Street,Roxbury,02119,4370,4370,Mendell Elementary,Mendell,ES, , ,78
-71.1058393826114,42.321785326977,110,"Kennedy, J  Bldg",7 Bolster Street,Jamaica Plain,02130,4270,4270,Kennedy John F Elemen,JF Kennedy,ES, , ,79
-71.10693577134,42.3262927571696,111,Hennigan Bldg,200 Heath Street,Jamaica Plain,02130,4231,4231,West Zone ELC,West Zone ELC,ELC,Shared, ,80
-71.0982906023034,42.3330186669578,113,Tobin Bldg,40 Smith Street,Roxbury,02120,4570,4570,Tobin K-8,Tobin K-8,K-8, , ,81
-71.1016906039024,42.3378986679279,115,Boston Latin School Bldg,78 Avenue Louis Pasteur,Boston,02115,1010,1010,Boston Latin School,Boston Latin Sch,6/7-12, , ,82
-71.091530600167,42.341458668465,116,Health Careers Academy,110 The Fenway,Boston,02115,1440,1440,Kennedy Health Careers Academy,Kennedy HCA,HS, , ,83
-71.099178020709,42.330588277467,118,Mission Hill Bldg,67 Allegheny Street,Roxbury,02120,1265,1265,Fenway High,Fenway HS,HS, , ,84
-71.0943212799182,42.3467726135953,118,Ipswich St Bldg,174 Ipswich Street,Boston,02215,1420,1420,Boston Arts Academy,BAA,HS, , ,85
-71.0992606029218,42.3434386690444,119,Mckinley Peterborough Bldg,97 Peterborough Street,Boston,02215,1293,1293,McKinley Prep High Sch,McKinley Prep HS,Special, , ,86
-71.1067606061076,42.3479486697696,120,Mckinley St Mary'S St Bldg,50 St. Mary Street,Boston,02215,1292,1292,McKinley Middle,McKinley MS,Special, , ,87
-71.1142189126879,42.3186854767418,121,"Curley, J.  Bldg",40 Pershing Road,Jamaica Plain,02130,42721,4272,Curley Lower (K1-5),Curley K-8 (Lower),K-8, , ,88
-71.1129506057296,42.3185086640135,122,"Curley, Mary  Bldg",493 Centre Street,Jamaica Plain,02130,42722,4272,Curley Upper (6-8),Curley K-8 (Upper),K-8, , ,89
-71.1314906113194,42.3055886607117,124,Manning Bldg,130 Louders Lane,Jamaica Plain,02130,4311,4311,Manning Elementary,Manning,ES, , ,90
-71.1353306108931,42.277768655305,126,Bates Bldg,426 Beech Street,Roslindale,02131,4081,4081,Bates Elementary,Bates,ES, , ,91
-71.1410506131549,42.2812286561306,127,Mozart Bldg,236 Beech Street,Roslindale,02131,4082,4082,Mozart Elementary,Mozart,ES, , ,92
-71.1523676175191,42.2926606574869,128,Russett Road Bldg,140 Russett Road,West Roxbury,02132,4033,4033,Kilmer Upper (4-8),Kilmer K-8 (Upper),K-8, , ,93
